,date,open,high,low,close,volume
9459,2021-05-26 00:32:00,1.22498,1.22499,1.22498,1.22499,23.0
9460,2021-05-26 00:33:00,1.22499,1.22499,1.22498,1.22499,15.0
9461,2021-05-26 00:34:00,1.22498,1.22499,1.22498,1.22499,16.0
9462,2021-05-26 00:35:00,1.22499,1.22499,1.22498,1.22499,6.0
9463,2021-05-26 00:36:00,1.22499,1.22502,1.22497,1.22502,8.0
9464,2021-05-26 00:37:00,1.2249,1.22499,1.22489,1.22498,8.0
9465,2021-05-26 00:38:00,1.22497,1.22497,1.22497,1.22497,1.0
9466,2021-05-26 00:39:00,1.22498,1.22498,1.22498,1.22498,1.0
9467,2021-05-26 00:40:00,1.22499,1.22499,1.22499,1.22499,1.0
9468,2021-05-26 00:42:00,1.22499,1.22499,1.22499,1.22499,1.0
9469,2021-05-26 00:43:00,1.22499,1.22499,1.22498,1.22498,2.0
9470,2021-05-26 00:44:00,1.22499,1.22499,1.22497,1.22499,6.0
9471,2021-05-26 00:45:00,1.22498,1.22499,1.22492,1.22498,15.0
9472,2021-05-26 00:46:00,1.22499,1.22499,1.22497,1.22497,16.0
9473,2021-05-26 00:47:00,1.22498,1.22499,1.22497,1.22499,26.0
9474,2021-05-26 00:48:00,1.22499,1.22499,1.22499,1.22499,14.0
9475,2021-05-26 00:49:00,1.22499,1.22499,1.22499,1.22499,14.0
9476,2021-05-26 00:50:00,1.22498,1.22499,1.22498,1.22499,12.0
9477,2021-05-26 00:51:00,1.22499,1.22499,1.22499,1.22499,12.0
9478,2021-05-26 00:52:00,1.22499,1.22499,1.22499,1.22499,7.0
9479,2021-05-26 00:55:00,1.22499,1.22499,1.22499,1.22499,2.0
9480,2021-05-26 00:56:00,1.22499,1.22499,1.22499,1.22499,1.0
9481,2021-05-26 00:57:00,1.22499,1.22499,1.22499,1.22499,1.0
9482,2021-05-26 00:58:00,1.22499,1.225,1.22499,1.22499,11.0
9483,2021-05-26 00:59:00,1.22499,1.22499,1.22499,1.22499,2.0
9484,2021-05-26 01:00:00,1.225,1.22525,1.225,1.2251,106.0
9485,2021-05-26 01:01:00,1.22512,1.22512,1.22502,1.22502,22.0
9486,2021-05-26 01:02:00,1.22502,1.22505,1.225,1.225,10.0
9487,2021-05-26 01:03:00,1.22503,1.2251,1.22503,1.2251,13.0
9488,2021-05-26 01:04:00,1.2251,1.2251,1.2251,1.2251,1.0
9489,2021-05-26 01:05:00,1.22516,1.2252,1.22514,1.22514,22.0
9490,2021-05-26 01:06:00,1.22513,1.22516,1.22508,1.22508,10.0
9491,2021-05-26 01:07:00,1.22508,1.22511,1.22508,1.22511,8.0
9492,2021-05-26 01:09:00,1.22511,1.22512,1.2251,1.2251,14.0
9493,2021-05-26 01:10:00,1.2251,1.22511,1.2251,1.2251,5.0
9494,2021-05-26 01:11:00,1.2251,1.22512,1.2251,1.22512,7.0
9495,2021-05-26 01:12:00,1.22513,1.22515,1.22513,1.22514,7.0
9496,2021-05-26 01:13:00,1.22513,1.22513,1.2251,1.22512,10.0
9497,2021-05-26 01:14:00,1.22513,1.22513,1.22512,1.22512,2.0
9498,2021-05-26 01:15:00,1.22511,1.22511,1.22506,1.22507,8.0
9499,2021-05-26 01:16:00,1.22508,1.22511,1.22508,1.22511,6.0
9500,2021-05-26 01:18:00,1.22509,1.2251,1.22509,1.2251,3.0
9501,2021-05-26 01:19:00,1.22508,1.2251,1.22505,1.22505,9.0
9502,2021-05-26 01:20:00,1.22505,1.22505,1.225,1.22501,9.0
9503,2021-05-26 01:21:00,1.225,1.2251,1.22496,1.22509,29.0
9504,2021-05-26 01:22:00,1.2251,1.22511,1.22495,1.22495,29.0
9505,2021-05-26 01:23:00,1.22499,1.225,1.22498,1.22498,12.0
9506,2021-05-26 01:24:00,1.22497,1.22505,1.22497,1.22505,11.0
9507,2021-05-26 01:25:00,1.22506,1.22506,1.22502,1.22502,11.0
9508,2021-05-26 01:26:00,1.22504,1.22505,1.22501,1.22504,5.0
9509,2021-05-26 01:27:00,1.22503,1.22505,1.22501,1.22504,13.0
9510,2021-05-26 01:28:00,1.22506,1.22508,1.22506,1.22507,4.0
9511,2021-05-26 01:29:00,1.22506,1.22507,1.22504,1.22505,7.0
9512,2021-05-26 01:30:00,1.22506,1.22517,1.22506,1.22517,26.0
9513,2021-05-26 01:31:00,1.22517,1.22519,1.22517,1.22519,4.0
9514,2021-05-26 01:32:00,1.22519,1.22525,1.22517,1.22517,18.0
9515,2021-05-26 01:33:00,1.22517,1.22518,1.22512,1.22515,14.0
9516,2021-05-26 01:34:00,1.22515,1.22517,1.22512,1.22512,18.0
9517,2021-05-26 01:35:00,1.22514,1.22514,1.22512,1.22512,6.0
9518,2021-05-26 01:36:00,1.22511,1.22512,1.2251,1.22511,8.0
9519,2021-05-26 01:37:00,1.2251,1.2251,1.22504,1.22505,8.0
9520,2021-05-26 01:38:00,1.22504,1.22515,1.22504,1.22515,17.0
9521,2021-05-26 01:39:00,1.22515,1.22517,1.22511,1.22515,27.0
9522,2021-05-26 01:40:00,1.22515,1.22516,1.22507,1.22507,19.0
9523,2021-05-26 01:41:00,1.22506,1.22506,1.22503,1.22504,11.0
9524,2021-05-26 01:42:00,1.22505,1.22507,1.22504,1.22504,27.0
9525,2021-05-26 01:43:00,1.22505,1.22507,1.22503,1.22504,17.0
9526,2021-05-26 01:44:00,1.22504,1.2251,1.22504,1.2251,7.0
9527,2021-05-26 01:45:00,1.22513,1.2252,1.22513,1.22513,20.0
9528,2021-05-26 01:46:00,1.22514,1.2252,1.22514,1.22519,16.0
9529,2021-05-26 01:47:00,1.22518,1.2252,1.22518,1.2252,3.0
9530,2021-05-26 01:48:00,1.22521,1.22523,1.22521,1.22521,12.0
9531,2021-05-26 01:49:00,1.22518,1.2253,1.22514,1.2253,20.0
9532,2021-05-26 01:50:00,1.22529,1.22529,1.22526,1.22526,6.0
9533,2021-05-26 01:51:00,1.22533,1.22542,1.22533,1.22542,10.0
9534,2021-05-26 01:52:00,1.22543,1.2255,1.22531,1.22532,37.0
9535,2021-05-26 01:53:00,1.22533,1.22534,1.22533,1.22534,2.0
9536,2021-05-26 01:55:00,1.22532,1.22532,1.2253,1.2253,11.0
9537,2021-05-26 01:56:00,1.22531,1.22535,1.22529,1.22534,8.0
9538,2021-05-26 01:57:00,1.22532,1.22532,1.22525,1.22525,10.0
9539,2021-05-26 01:58:00,1.22525,1.22525,1.2252,1.22522,21.0
9540,2021-05-26 01:59:00,1.22524,1.22535,1.22521,1.22534,17.0
9541,2021-05-26 02:00:00,1.22536,1.22539,1.22525,1.22525,12.0
9542,2021-05-26 02:01:00,1.22524,1.22524,1.22524,1.22524,1.0
9543,2021-05-26 02:02:00,1.22525,1.22529,1.22515,1.22515,22.0
9544,2021-05-26 02:03:00,1.22516,1.22526,1.22516,1.22524,20.0
9545,2021-05-26 02:04:00,1.22525,1.22525,1.22524,1.22524,8.0
9546,2021-05-26 02:05:00,1.22525,1.22528,1.22504,1.2251,22.0
9547,2021-05-26 02:06:00,1.22509,1.22512,1.22504,1.2251,20.0
9548,2021-05-26 02:07:00,1.22509,1.22514,1.22507,1.22514,13.0
9549,2021-05-26 02:08:00,1.22516,1.22521,1.2251,1.22514,28.0
9550,2021-05-26 02:09:00,1.22515,1.22518,1.22511,1.22514,10.0
